אביסל|אַ ביסל|קצת
פינדן|פֿינדן|למצוא
פינטעלע|פּינטעלע|נקודה (יהודית) פנימית
פינסטער|פינסטער|חשוך, אפל
פינסטערן|פינסטערן|חשוך
פינסטערניש|פינסטערניש|חושך, אפלה
פינסטערע|פינסטערע|חשוכים, אפלים
פינף|פינף|חמש
פינפטער|פינפטער|חמישי
פינצטער|פינצטער|חושך
פינצטערניש|פינצטערניש|חשיכה
פינקטליך|פינקטליך|בדייקנות, בדיוק
פינקטלעך|פּינקטלעך|בדיוק
פינקטלעכקייט|פּינקטלעכקייט|דיוק
פיס|פיס|רגליים
פיסלעך|פיסלעך|רגליים קטנות
פיעל|פיעל|הרבה
פיער|פיער|ארבע
פיצל|פּיצל|פירור, קטנטן
פיר|פיר|ארבע
פירונג|פירונג|הנהגה, התנהלות
פירט|פירט|מוביל, מנהיג (הוא)
פירמא|פירמא|חברה, פירמה
פירן|פירן|לנהוג, להסיע, להוביל, להנחות
פירסט|פירסט|מוביל, מנהיג (אתה)
פירעןדורך|פירען דורך|לבצע, לנהל
פירער|פירער|מנהיג
פירשט|פירשט|נסיך
פיש|פיש|דג, דגים
פלאך|פלאַך|מישור, מפלס
פלאכע|פלאַכע|מישור
פלאם|פלאם|להבה
פלאמענדיגע|פלאַמענדיגע|בוער, לוהט
פלאן|פּלאַן|תכנית
פלאנטערן|פּלאָנטערן|מִסתפק
פלאנצט|פלאַנצט|שותל, נוטע
פלאץ|פּלאַץ|מקום
פלאש|פלאַש|בקבוק
פלוג|פּלוג|מחרשה (אין פלוג - לכאורה)
פלוים|פלוים|שזיף
פלוימן|פלוימען|שזיפים
פלוצים|פּלוצים|פתאום
פלוצלינג|פּלוצלינג|פתאום
פלי|פלי|עף (אני)
פליט|פליט|עף (הוא)
פלייצע|פלייצע|גב, כתפיים
פלייצעס|פלייצעס|כתפיים
פלייש(גוף)|פלייש (גוף)|בשר
פליישיגער|פליישיגער|בשרי, של בשר
פליישיקער|פליישיקער|בשרי
פליכט|פליכט|חובה
פליכטן|פליכטען|חובות
פלימעניק|פּלימעניק|אחיין
פלין|פליען|לעוף, לטוס
פלינק|פלינק|זריז
פליסט|פליסט|זורם
פליסן|פליסען|לִזרום, לִנזול
פליק|פליג|זבוב
פלעג|פלעג|נהג, היה רגיל (פלעג זאגן = היה אומר)
פלעגט|פלעגט|היה נוהג, נהג
פלעגין|פלעגין|נהגו, היו רגילים (פלעגן)
פלעגן|פלעגן|היו נוהגים
פלעכט|פלעכט|מתמזג, קלוע
פלענער|פּלענער|תוכניות
פן|פען|עט
פנימיותדיקן|פנימיותדיקן|פנימי
פנימיותדיקע|פנימיותדיקע|פנימית
פנימיותדיקער|פנימיותדיקער|פנימי, בעל פנימיות
פנימישבפנימי|פּנימי שבפּנימי|הפנימי שבפנימי
פנימער|פנימער|פרצופים
פנקטליך|פּנקטליך|בדיוק
פסיכישע|פּסיכישע|פסיכי, נפשי
פעטער|פעטער|דוד
פעטערבורגער|פּעטערבּורגער|של-פטרבוג
פעטערס|פעטערס|דודים; של הדוד
פעטראפאוולאווסקעןקפט|פּעטראָפּאוולאָווסקען קפ"ט|פטרופבלובסק (מקום)
פעלד|פעלד|שדה, מגרש, שדה
פעלדארבעט|פעלד-אַרבּעט|עבודת שדה
פעלדער|פעלדער|שדות
פעלז|פעלז|סלע, צוק
פעלט|פעלט|חסר
פעלין|פעהלין|יחסר (בד"כ: חסרים)
פעלן|פעלן|לחסר
פעלער|פעלער|טעות; חסרון
פעלץ|פּעלץ|מעיל פרווה
פעלקער|פעלקער|עמים
פענסטער|פענסטער|חלון
פענצטער|פענצטער|חלון
פעסט|פעסט|חוזק, תקיפות, חזק, איתן
פעסטונג|פעסטונג|מבצר, ביצורים, תוקף, מעוז
פעסטער|פעסטער|איתן-יותר
פעסטקייט|פעסטקייט|חׂזק, תַקיפות
פעסטשטעלן|פעסטשטעלן|לוַדא, לאמת, לקבוע, לחרוץ
פעסער|פעסער|חביות
פעפער|פעפער|פלפל
פעקל|פעקל|חבילה קטנה, צרור
פעקלאך|פעקלאך|חבילות, צרורות
פעראייניגונג|פעראייניגונג|הִתאחדות
פעראנטווארטליכעררס|פעראַנטוואָרטליכער ר"ס|אחראי
פערביטערעוויי|פערבּיטערע וויי|כאב מר, יסורים
פערגיניגן|פערגיניגן|הנאת, תענוג
פערגעניגן|פערגעניגען|הנאה, עונג, תענוג, הנאה
פערד|פערד|סוסים
פערדאוןוואגן|פערד־און־וואָגן|סוס ועגלה
פערזאן|פּערזאָן|איש, דמות, גוף
פערזאנן|פּערזאָנען|דמויות
פערזענליך|פערזענליך|אישי
פערזענלעכקייט|פּערזענלעכקייט|אישיות
פערטייטשט|פערטייטשט|תרגם, ביאר
פערטיפט|פערטיפט|התעמק
פערטל|פערטל|רבע
פערטע|פערטע|רביעית
פערטער|פערטער|רביעי
פערל|פערל|פנינה, פנינים
פערלאנג|פערלאַנג|דורש
פערלויף|פערלויף|(=פארלויף) מהלך, משך (זמן)
פערליידן|פערליידען|לסבול, לסבול
פערמעגן|פערמעגען|רכוש, נכסים
פערנומן|פערנומען|(=פארנומען) עסוק, תפוס
פערסאן|פערסאן|אדם, אישיות
פערציק|פערציק|ארבעים
פערצן|פערצן|ארבע עשרה
פערשטאנד|פערשטאנד|(=פארשטאנד) שכל, תבונה
פערשטיין|פערשטיין|להבין
פערשידענע|פערשידענע|שונים, מגוונים
פערשיידענע|פערשיידענע|שונים, מגוונים
פערשיינונג|פערשיינונג|תופעה
פערשענדעניש|פערשענדעניש|הבנה
פראבלעמן|פּראָבלעמען|בעיות
פראגן|פראַגן|שאלות
פראגע|פראַגע|שאלה
פראגראם|פראגראם|תוכנית
פראגראמן|פראגראמן|תוכניות
פראדוקטן|פראדוקטן|מוצרים, תוצרת
פראווינץ|פּראָווינץ|עיר-שדה, מחוז
פראוון|פראווען|לערוך, לחגוג (שמחה או התוועדות)
פראכטפול|פּראַכטפול|מפואר
פראנט|פראנט|חזית
פראנצויזיש|פראַנצויזיש|צרפתי, בצרפתית
פראנצויזישע|פראַנצויזישע|צרפתיים, הצרפתים
פראנצויזן|פראַנצויזן|צרפתים
פראנקרייך|פראַנקרייך|צרפת
פראסט|פּראָסט|פשוט
פראסטע|פּראָסטע|פשוטים, פשוט
פראסטער|פּראָסטער|פשוט
פראסטעראיד|פּראָסטער איד|יהודי פשוט
פראסטקייט|פּראָסטקייט|פשטות
פראפעסאר|פּראָפעסאָר|פרופסור
פרואוון|פּרואוון|לנסות
פרובירט|פּרובירט|ניסו
פרובירן|פּרובירן|לנסות
פרוזשינע|פּרוזשינע|קפיץ חשאי
פרוי|פרוי|אישה, גברת
פרוין|פרויען|נשים
פרוכט|פרוּכט|פרי
פרוכטגארטן|פרוכט-גאָרטען|גינת פירות
פרום|פרוּם|ירא שמים, דתי
פרומע|פרומע|יראי שמים, אדוקים
פרומער|פרומער|אדוק, ירא שמים
פרומקייט|פרומקייט|אדיקות, יראת שמים
פרי|פרי|מוקדם
פרידלעך|פרידלעך|יעילים
פריהעסטע|פריהעסטע|המוקדם ביותר
פריהער|פריהער|קודם, לפני כן
פריוואטמזכיר|פּריוואַט-מזכיר|מזכיר-פרטי
פריזיוו|פריזיוו|גיוס לצבא
פריי|פֿרייַ|חופשי
פריי|פריי|חפשי, חופשי, חינם
פריידע|פריידע|שמחה
פרייהייט|פֿרייַהייט|חירות
פרייוויליקע|פרייוויליקע|רצוני
פרייז|פּרייז|מחיר
פרייט|פרייט|משמח (פרייט זיך - שמח)
פרייטאג|פרייטאג|יום שישי
פרייטיק|פרייטיק|יום שישי
פריייק|פֿרייִיק|שמח
פרייליך|פרייליך|שמח, עליז
פרייליכע|פרייליכע|שמחים, עליזים
פריילעך|פריילעך|שמח, עליז
פריילעךן|פריילעךן|שמח (מוטה)
פריילעךע|פריילעךע|שמח (נקבה/רבים)
פריילעךער|פריילעךער|שמח (זכר)
פריילעכן|פריילעכן|שמח
פריילעכער|פריילעכער|שמח (יותר)
פריין|פרייען|לשחרר, לחגוג
פריינד|פריינד|ידיד, חבר
פריינדלעכן|פריינדלעכן|ידידות
פריינדשאפט|פריינדשאַפט|ידידות
פריינט|פריינט|חבר
פריינטשאפט|פריינטשאַפט|חברוּת, ידידות
פרייע|פרייע|חופש
פרייעןזיך|פרייען זיך|לשמוח
פרילינג|פרילינג|אביב
פרימארגן|פרימאָרגן|בוקר
פרין|פרין|מוקדם (מוטה)
פריסטער|פריסטער|מוקדמים
פריע|פריע|מוקדם (נקבה/רבים)
פריער|פריער|קודם, מוקדם יותר
פריערדיק|פריערדיג|קודם, שלפני כן
פריערדיקן|פריערדיקן|קודם
פריערדיקע|פריערדיקע|קודמים
פריץ|פריץ|בעל אחוזה, אדון
פריצישער|פּריצישער|פַּריצי
פרירן|פרירן|לקפוא
פריש|פריש|טרי, רענן
פרישטיק|פרישטיק|ארוחת בוקר
פרישן|פרישן|טרי, רענן (מוטה)
פרישןאפ|פרישן-אָפּ|מרעננים
פרישע|פרישע|טרי, רענן (נקבה/רבים)
פרישעלופט|פרישע לופט|אוויר צח
פרישער|פרישער|טרי, רענן (זכר)
פרישקייט|פרישקייט|רעננות, טריות
פרעג|פֿרעג|שאל!
פרעגט|פֿרעגט|שואל
פרעגין|פרעגין|לשאול (פרעגן)
פרעגן|פֿרעגן|לשאול
פרעגסט|פרעגסט|שואל (אתה)
פרעגענדיק|פרעגענדיק|תוך כדי שאלה
פרעזידענט|פּרעזידענט|נשיא (של מדינה)
פרעמד|פרעמד|זָר
פרעמדן|פרעמדן|זר (מוטה)
פרעמדע|פרעמדע|זרים, זַר
פרעמדער|פרעמדער|זר (זכר)
פרעמיע|פּרעמיע|פרס, בונוס
פרעסן|פֿרעסן|לאכול בגסות
פרעסע|פרעסע|עיתונות
פשוטן|פשוטן|הפשוט
פשוטע|פשוטע|פשוטים, פשוטות
פשוטעווערטער|פּשוטע ווערטער|מילים פשוטות
פשוטער|פּשוטער|פשוט (זכר)
פשרן|פּשרן|לפשר
צאהל|צאהל|מספר, כמות
צאל|צאָל|כמות
צאלונג|צאָלונג|תשלום
צאלט|צאָלט|משלם (הוא)
צאלן|צאָלן|לספור, לשלם
צאלן|צאָלען|לשלם
צאלסט|צאָלסט|משלם (אתה)
צאן|צאָן|שן
צארישערעדירונג|צאַרישע רעדירונג|ממשל הצאר, שלטון צארי
צארן|צאָרן|זעם, ברוגז
צדקהגעבן|צדקה געבן|לתת צדקה
צהאלן|צהאָלען|לשלם, לפרוע
צהענדליגער|צהענדליגער|עשרות, רבי עשרות
צו|צוּ|אל, ל-
צובונג|צובּונג|ציבור, קהל
צובונד|צובונד|קשר
צוביסלעך|צוּבּיסלעך|מעט מעט, בהדרגה
צובראכן|צובראָכן|שבור
צובראכענער|צובראכענער|שבור
צובראכענקייט|צובראכענקייט|שברון לב
צוברעכט|צוברעכט|שובר
צוברעכן|צוברעכן|לשבור
צוברעקלן|צוּבּרעקלען|לפרר
צוג|צוּג|רכבת
צוגאנג|צוּגאַנג|גישה
צוגייט|צוגייט|הולך אל, מתקרב
צוגיין|צוגיין|ללכת אל
צוגיסן|צוגיסען|למזוג
צוגעבונדן|צוגעבונדן|קשור, מקושר
צוגעבן|צוגעבן|להוסיף
צוגעבראכט|צוגעבראַכט|להביא
צוגעגאנגן|צוגעגאַנגען|ניגש
צוגעגבןווערן|צוגעגבן ווערן|להתוסף
צוגעגעבן|צוגעגעבן|הוסיף
צוגעגרייט|צוגעגרייט|מוכן, הוכן
צוגעדעקט|צוגעדעקט|מכוסה
צוגעזאגט|צוגעזאָגט|הבטיח
צוגעזן|צו געזען|להפרד
צוגעזעצט|צוגעזעצט|נוסף
צוגעטיילטן|צוגעטיילטן|מוקצה, שהוקצב
צוגעלאזן|צוּגעלאָזען|הניחו
צוגעלאפן|צוּגעלאָפען|רצו עד...
צוגעלייגט|צוגעלייגט|הוסיף, צירף
צוגענגלעך|צוּגענגלעך|נגיש
צוגענומן|צוּגענוּמען|לקוח מ...
צוגעפאסט|צוגעפאסט|מותאם
צוגעפארן|צוגעפארן|הגיע בנסיעה
צוגעפינן|צוגעפינען|למצוא בנוסף, להוסיף
צוגעפירט|צוגעפירט|הוביל אל
צוגעצויגן|צוגעצויגן|משך
צוגעקומן|צוגעקומען|הגיע
צוגעקוקט|צוגעקוקט|התבונן, הסתכל
צוגעקוקט(האט)|צוגעקוקט (האָט)|הסתכל
צוגערופן|צוגערופן|קרא אליו
צוגעשטעלט(האט)|צוגעשטעלט (האָט)|הגיש
צוגרייטן|צוגרייטן|להתכונן, להכין
צודעקן|צודעקן|לכסות
צוהעלפן|צוהעלפן|לסייע
צוהערןזיך|צוהערן זיך|להקשיב
צוהערענדיגזיך|צוּהערענדיג-זיך|בהקשיבו
צוהערער|צוהערער|מאזין, מאזינים
צוואנג|צוואַנג|כפייה
צוואנגווייז|צוואַנגווייז|בכפייה
צוואנציק|צוואַנציק|עשרים
צווואנן|צוּ וואַנען|לאן
צווואס|צוּ וואָס|למה, לשם מה
צוווארפן|צוּוואָרפען|לזרוק אל, להוסיף
צוווי|צוּ ווי|כמה
צווועמן|צוּ וועמען|למי
צוויי|צוויי|שתיים
צווייגל|צווייגל|ענף קטן
צווייגן|צווייגן|ענפים
צווייגעלע|צווייגעלע|ענף קטן
צווייגעלעך|צווייגעלעך|ענפים קטנים
צווייטין|צווייטין|(=צווייטן) שני, האחר
צווייטן|צווייטן|שני (מוטה)
צווייטע|צווייטע|שנייה, אחרת
צווייטענס|צווייטענס|שנית, דבר שני
צווייטער|צווייטער|שני
צווייערליי|צווייערליי|שני סוגים
צווייערס|צווייערס|של שניים, בזוגות
צווייק|צווייג|ענף
צווילינג|צווילינג|תאומים
צווינגן|צווינגען|להכריח, לאלץ
צווישן|צווישן|בין
צוועלף|צוועלף|שתים עשרה
צוועק|צוועק|מטרה
צוזאג|צוּזאָג|הבטחה, ציווי
צוזאגן|צוּזאָגן|להבטיח
צוזאגער|צוּזאָגער|מבטיח, מְצַוה
צוזאמן|צוּזאַמן|יחד
צוזאמנארבעט|צוּזאַמנאַרבעט|שיתוף פעולה
צוזאמנקומן|צוּזאַמנקומען|להתאסף
צוזאמנקונפט|צוּזאַמנקונפֿט|מפגש
צוזאמענבונד|צוזאמענבונד|קשר, איגוד
צוזאמענגבונדן|צוזאַמענגבונדן|קשר-יחד
צוזאמענגעקליבן|צוזאמענגעקליבן|אסף, קיבץ יחד
צוזאמענגערופן|צוזאַמענגערופען|הקהיל, אָסַף
צוזאמענגעשטעלט|צוזאַמענגעשטעלט|מורכב, הורכב
צוזאמענהאנג|צוזאַמענהאַנג|הקשר, קשר
צוזאמענקומן|צוּזאַמענקוּמען|להִפגש
צוזאמענקונפט|צוזאַמענקונפט|פגישה
צוזאמענקונפטן|צוזאַמענקונפטן|פגישות
צוזאמענקלייבן|צוזאמענקלייבן|לאסוף, לקבץ
צוזאמענריידן|צוזאמענריידן|לדבר יחד; זיך צוזאמענריידן: לתאם ביניהם
צוזאמענשטעלן|צוזאַמענשטעלן|להרכיב
צוזעענדיק|צוּזעהענדיג|בראותינו
צוטומלעניש|צוטומלעניש|מהומה, ערבוביה
צוטראגן|צוטראגן|להביא אל, לשאת אל
צוטרוי|צוּטרוי|אמון
צוטריי|צוּטרייַ|נאמן
צוטריי|צוטריי|נאמן, ישר
צולויפן|צולויפן|לרוץ אל, להתקבץ
צוליב|צוליב|בגלל, לשם
צולייגן|צולייגן|להוסיף, להצמיד
צוליעב|צוּליעבּ|עִבור, בשביל, כדי
צום|צום|אל ה־, לְ־
צוםערשטןמאל|צום ערשטן מאָל|בפעם הראשונה
צומאכן|צומאַכן|לסגור, לעצום
צומאל|צומאָל|לפעמים
צומארגענס|צומארגענס|למחרת בבוקר
צונאכט|צונאכט|לעת לילה
צונג|צונג|לשון
צונויף|צונויף|יחד (קידומת צירוף)
צונויפ|צונויפֿ|יחד
צונויפבינדן|צונויפבינדן|לקשור יחד
צונויפברענגן|צונויפברענגען|לקבץ, להפגיש
צונויפגעקומן|צוּנויפגעקוּמען|נִפגשו (באו ונפגשו)
צונויפזאמלן|צוּנויפזאַמלען|לאסוף, אסיפת
צונויפמישן|צונויפמישן|לערבב יחד
צונויפקומונג|צונויפֿקומונג|אסיפה
צונויפקומן|צונויפֿקומען|להתאסף
צונויפקומן|צוּנויפקוּמען|יִפָגְשוּ
צונויפקומעןזיך|צונויפקומען זיך|להתקבץ
צונויפקלייבן|צונויפקלייבן|לאסוף יחד, לקבץ
צונויפקלייבע|צונויפקלייבע|לאסוף, לקבץ
צונעמן|צונעמען|כינוי; לאסוף
צוערשט|צוּערשט|דבר-ראשון
צופאל|צוּפאַל|מקרה
צופאסן|צוּפּאַסען|להתאים
צופארן|צוּפאַָרען|לנסוע
צופוס|צופוס|ברגל, ברגל, הליכה
צופיל|צופיל|יותר מידי
צופירן|צופירן|להוביל אל
צופלאמט|צופלאמט|עולה בלהבות, בוער
צופעליק|צוּפֿעליק|מקרי
צופעליק|צופעליק|במקרה, באקראי
צופעליקייט|צוּפֿעליקייט|מקריות
צופרידן|צוּפֿריִדן|מרוצה
צופרידן|צופרידען|שמח
צופרידנגעשטיעלט|צופרידנגעשטיעלט|שבע-רצון
צופרידנקייט|צוּפֿריִדנקייט|שביעות רצון
צופרידנשטעלונג|צופרידנשטעלונג|סיפוק
צופרידנשטעלנדיקע|צופרידנשטעלנדיקע|מספק, משביע-רצון
צופרידענקייט|צופרידענקייט|הנאה, נחת-רוח, שביעות-רצון
צופריידענהייט|צופריידענהייט|קורת רוח, שביעות רצון
צוצוגרייטן|צוצוגרייטן|להכין
צוצונעמן|צוּצוּנעמען|לקחת לעצמו
צוצוקומן|צוצוקומן|להגיע אל, לגשת
צוצענדיק|צוצענדיק|מושך
צוקומן|צוקומען|להגיע, להגיע אל
צוקונפט|צוּקונפֿט|עתיד
צוקונפטיקע|צוקונפטיקע|עתידי, עתידיים
צוקונפטיקע|צוּקוּנפטיקע|הבאים
צוקוקן|צוקוקן|להסתכל
צוקוקנדיקזיך|צוקוקנדיק זיך|בהסתכלו, בהתבוננו
צוקוקענדיק|צוקוקענדיג|מסתכל, צופה
צוקוקענדיק|צוּקוּקענדיג|בהביטנו
צוקינפטיק|צוּקינפֿטיק|עתידי
צוקלייבן|צוּקלייבּען|לאסוף
צוקער|צוקער|סוכר
צוקערקע|צוּקערקע|סוכריה
צורולאזן|צורו לאָזן|להניח
צורונן|צוּרוּנען|לרוץ אל, להתקרב
צוריסן|צוּריסן|קרוע
צוריסן|צוריסען|קרע
צוריסנקייט|צוּריסנקייט|קרעים
צוריק|צוריק|חזרה
צוריקגיין|צוריקגיין|לחזור
צוריקגעבן|צוריקגעבן|להחזיר
צוריקגעווינן|צוריקגעווינען|להחזיר
צוריקגעקומן|צוריקגעקומען|חזר
צוריקגעקערט|צוריקגעקערט|חזר
צוריקגעשטעלטווערן|צוריקגעשטעלט ווערן|יוחזר
צוריקטרעטן|צוריקטרעטן|לצעוד אחורה, לסגת
צוריקלאזן|צוריקלאָזן|להשאיר חזרה
צוריקערן|צוריקערן|לחזור
צוריקצוקערןזיך|צוריקצוקערן זיך|לחזור בחזרה
צוריקקומן|צוריקקומען|לחזור
צוריקקערןזיך|צוריקקערן זיך|לחזור, לשוב
צורעכט|צוּרעכט|מסודר, מתוקן
צושטאנד|צוּשטאַנד|מצב
צושטיין|צושטיין|להצטרף
צושטימונג|צושטימונג|הסכמה, הסכמה, אישור
צושטימן|צושטימען|להסכים
צושטענד|צוּשטענד|מצבים
צושיקן|צוּשיקן|לשלוח
צטיילונג|צטיילונג|חלוקה
צי|צי|מושך (אני)
ציבעלע|ציבעלע|בצל
ציגל|ציגל|לבנה
ציגן|ציגן|עיזים
ציהן|ציהען|לִמְשוך, לִמְתוח, לִמשוֹך, לִמתוֹח
ציהען(זיך)|ציהען (זיך)|להִמשך
ציוןירושלים|ציון ירושלים|ציון וירושלים
ציט|ציט|מושך
ציטאט|ציטאַט|ציטוט
ציטזיך|ציט זיך|נמשכת
ציטירונג|ציטירונג|ציטוט
ציטירן|ציטירן|לצטט
ציטער|ציטער|פִרפור, רעדה, פחד, רעד
ציטערן|ציטערן|לרעוד
צייגן|צייגן|להראות
צייט|צייט|זמן
צייטווייליגע|צייטווייליגע|זמני, ארעי (בהטיה)
צייטווייליגער|צייטווייליגער|זמני
צייטוויליקע|צייטוויליקע|זמני
צייטונג|צייטונג|עיתון
צייטונגן|צייטונגן|עיתונים
צייטיק|צייטיג|בשל
צייטלעך|צײַטלעך|זמני
צייטן|צייטן|זמנים
צייטן|צייטען|עיתים, זמנים
צייטנווייז|צייטנווייז|לעיתים, מזמן לזמן
צייכן|צייכן|סימן
צייכנן|צייכנען|לסמן
צייכנס|צייכנס|סימנים
צייכענונג|צייכענונג|ציור, רישום
צייכענטזיךאויס|צייכענט זיך אויס|הִצטיינו
צייכענן|צייכענען|לשרטט, לצייר
ציילט|ציילט|סופר, מונה
ציילן|ציילן|לספור
ציין|ציין|שיניים
ציינער|ציינער|שיניים
ציכטיק|ציכטיק|נקי, מסודר
ציל|ציל|מטרה, יעד, מטרה
צילגרופע|ציל-גרופּע|קהל יעד
צילהאבן|ציל האַבן|לשאוף
צימער|צימער|חדר
צימערן|צימערן|חדרים
צין|ציען|למשוך
צינדן|צינדן|להדליק
ציסט|ציסט|מושך (אתה)
ציעל|ציעל|מטרה, יעד
ציענדיק|ציענדיק|משך
ציק|ציג|עז
ציריקוועגס|ציריק-וועגס|דרך-חזור
צן|צעהן|עשר
צעבער|צעבּער|דלי, כד
צעבראכן|צעבראָכן|שבור, נשבר
צעברעקלונג|צעברעקלונג|התפוררות
צעברעקלט|צעברעקלט|התפוררות
צעגאנגן|צעגאַנגען|נפרדו
צעגאסן|צעגאָסן|שפיכה
צעווארפן|צעוואָרפן|מפוזר
צעטומלט|צעטומלט|מבולבל
צעטיילונג|צעטיילונג|חילוק, חלוקה
צעטיילט|צעטיילט|מחולקים, מחולק
צעטיילן|צעטיילן|לחלק
צעטיל|צעטיל|פתק, פתקה
צעטראגן|צעטראָגן|קרע
צעלאזן|צעלאָזן|מפוזר, מומס
צענדליגע|צענדליגע|עשרות (מספר)
צענדליגער|צעהנדליגער|עשרות
צענדליקן|צעהנדליקען|עשרות
צענדליקער|צעהנדליקער|עשרות
צענטער|צענטער|מרכז
צענטראל|צענטראל|מרכזי
צעפלאקערט(האט)|צעפלאַקערט (האָט)|פרצה
צעקריגט|צעקריגט|מסוכסך
צעשטערטגעווארן|צעשטערט געוואָרן|נהרס, נחרב
צעשטערטווערן|צעשטערט ווערען|יתבטלו
צעשטערן|צעשטערן|להרוס
צעשלאגן(זיך)|צעשלאגן (זיך)|רבו-בינהם
צעשפרייט|צעשפּרייט|מפוזר, מופץ
צעשפרייטן|צעשפּרייטן|להפיץ, לפזר
צפות|צפות|ציפיות
צפייה|צפייה|ציפייה
צפייהלגאולה|צפייה לגאולה|ציפייה לגאולה
קאבינעט|קאַבּינעט|לשכּה
קאווע|קאַווע|קפה
קאזאק|קאזאק|קוזק
קאטשן|קאַטשען|לגלגל
קאטשקע|קאַטשקע|ברווז
קאך|קאָך|בשל!
קאךט|קאָךט|מבשל (הוא)
קאךסט|קאָךסט|מבשל (אתה)
קאכט|קאָכט|מבשל, מבשלים
קאכן|קאָכן|לבשל, בישול
קאכן|קאָכן|לבשל
קאכן|קאָכען|לבשל
קאלאניע|קאלאניע|מושבה
קאלאניעס|קאָלאָניעס|מושבים
קאלב|קאַלב|עגל
קאלדרע|קאָלדרע|שמיכה
קאלט|קאַלט|קר
קאלטן|קאַלטן|קר (מוטה)
קאלטע|קאַלטע|קרים
קאלטער|קאַלטער|קר (זכר)
קאלטקייט|קאַלטקייט|קור
קאליע|קאליע|מקולקל (קאליע ווערן — להתקלקל)
קאליעגעווארן|קאַליע געוואָרן|התקלקל
קאליעמאכן|קאַליע מאַכן|לקלקל
קאלירן|קאָלירן|צבע
קאמיטעט|קאמיטעט|ועד, ועדה
קאמיסיע|קאָמיסיע|ועדה
קאמער|קאמער|חדרון, תא
קאמף|קאַמף|מאבק, מערכה
קאמפ|קאַמפֿ|מאבק
קאמפאניע|קאַָמפּאַניע|חברה
קאמפט|קאַמפֿט|נאבק
קאמפלימענט|קאָמפּלימענט|מחמאה
קאמפליצירט|קאָמפּליצירט|מסובך
קאמפן|קאַמפֿן|להיאבק
קאמפסלוסטיק|קאַמפס־לוסטיק|ששים לקרב
קאמפף|קאמפף|קרב
קאמר|קאמר|חדר קטן (קאמער)
קאן|קאָן|יכול
קאנדידאט|קאַנדידאַט|מועמד
קאנדידאטן|קאַנדידאַטן|מועמדים
קאנוואולסטע|קאָנוואולסטע|עוויתות, התכווצויות
קאנווערט|קאָנווערט|מעטפה
קאנטאקט|קאָנטאַקט|קשר
קאנטאקטירן|קאָנטאַקטירן|ליצור קשר
קאנטאר|קאנטאר|משרד (מרוסית)
קאנן|קאנען|יכולים; לדעת (צורה של קענען)
קאנענדיק|קאָנענדיג|יכול
קאנצעלאריע|קאַנצעלאַריע|לִשכָּה
קאנצעפט|קאָנצעפּט|קונספט
קאנצעפטן|קאָנצעפּטן|קונספטים
קאסט|קאַָסט|עולה (כסף)
קאסטן|קאָסטן|עלות, מחיר
קאסירע|קאַסירע|גזבר
קאפ|קאָפּ|ראש
קאפאטע|קאַפּאָטע|קפוטה, מעיל חסידי
קאפהאר|קאָפּ־האָר|שיער הראש
קאפווייטיק|קאָפּווייטיק|כאב ראש
קאפיטל|קאַפּיטל|פרק
קאפיטלעך|קאַפּיטלעך|פרקים
קאפיק|קאָפּיק|ראשי
קאפיקעס|קאָפּיקעס|קופיקות (מטבע)
קאפל|קאפל|כיפה
קאפן|קאָפּן|ראשים
קאפעליוש|קאַפּעליוש|מגבעת
קאפריז|קאַפּריז|גחמה
קאץ|קאַץ|חתול
קאראהאד|קאראהאד|מעגל רוקדים
קארגע|קאַרגע|מִטען, טעון
קארטאפל|קאַרטאָפל|תפוח אדמה
קארטן|קאַרטן|כרטיסים
קארטע|קאַרטע|מרכבה
קארמן|קארמען|להאכיל (בהמות)
קארן|קאָרן|שיפון, דגן
קארעטע|קאָרעטע|אבוס
קארפ|קאָרפּ|גוף
קארפערלעך|קאָרפּערלעך|גופני
קארפערלעכקייט|קאָרפּערלעכקייט|גשמיות
קארש|קאַרש|דובדבן
קארשן|קאַרשען|דובדבנים
קאשע|קאַשע|דייסה
קו|קו|פרה
קוגל|קוגל|פשטידה (מאכל שבת)
קוגעל|קוגעל|קוגל (מאפה שבת)
קוואל|קוואַל|מעיין
קוואלן|קוואַלען|מעיינות
קוואס|קוואַס|קוואס (משקה)
קווארטיר|קוואַרטיר|עיקרי
קוועטש|קוועטש|לחיצה; הדגשה
קוועטשט|קוועטשט|לוחץ; מדגיש
קוועל|קוועל|מקור
קוועלן|קוועלן|מקורות
קוועלןפוןחכמה|קוועלן פֿון חכמה|מקורות חוכמה
קוים|קוים|כמעט, בקושי
קויף|קויף|קונה
קויףט|קויףט|קונה (הוא)
קויףסט|קויףסט|קונה (אתה)
קויפט|קויפֿט|קונה
קויפן|קויפֿן|לקנות
קוכן|קוכן|עוגה
קום|קום|בוא!
קוםט|קוםט|בא (הוא)
קוםסט|קוםסט|בא (אתה)
קומט|קומט|בא
קומן|קומען|לבוא
קומענדיגער|קומענדיגער|הבא(ה)
קומענדיק|קומענדיק|בבואו, הבא
קונץ|קונץ|תחבולה, להטוט
קונצן|קונצן|תעלולים, להטוטים
קופער|קופּער|נחושת
קוק|קוק|מבט, הסתכלות, השקפה
קוקט|קוקט|מסתכל
קוקן|קוקן|להסתכל
קוקןארויס|קוקן אַרויס|לצפות בכיליון עיניים
