אַ ביסל|קצת|a little
שטיק|חתיכה, קטע|piece
שטיקל|חתיכה|piece
שטיקלעך|חתיכות|pieces
שטיקעל|פיסה, חתיכה|piece
שטיקעלע|חתיכה קטנה; קטע|little piece
שטעדט|ערים|cities
שטעדטל|עיירה|town
שטעדטעל|עיירה, עיר קטנה|town
שטעדעט|ערים|cities
שטעהן|לעמוד (כתיב ישן)|to stand (old spelling)
שטעט|ערים, ערים, עיירות|cities, towns
שטעטל|עיירה|town, shtetl
שטעטלעך|עיירות|towns
שטעטלער|עיירות|towns
שטעטעל|עיירה|town
שטעטעלדיקע|של - העיירות|of the towns
שטעטעלע|עיירה קטנה|little town
שטעכט|דוקר|stabs, pricks
שטעכן|לדקור, לעקוץ|to stab, to sting
שטעל|מעמיד (אני)|(I) place
שטעלונג|עמדה|position, stance
שטעלט|מעמיד (הוא)|(he) places
שטעלן|להעמיד|to place, to set
שטעלסט|מעמיד (אתה)|(you) place
שטעלע|עמדה, תפקיד|position, post
שטענדיג|תמיד, תמידי|always, constant
שטענדיק|תמיד|always
שטענדיקן|קבוע|constant (inflected)
שטענדיקע|קבוע, תמידי|constant, perpetual
שטעקט|תקוע, נעוץ|is stuck, lodged
שטעקן|מקל; להיות תקוע|stick; to be stuck
שטער|הפרעה, מניעה (מן שטערן — להפריע)|disturbance, hindrance
שטערונג|הפרעה|disturbance
שטערונגען|הפרעות|disturbances
שטערט|מפרי|disturbs, hinders
שטערן (הימל)|כוכב|star
שטערן (קאָפּ)|מצח|forehead
שטערנס|כוכבים|stars
שטערען|מפריעים|to disturb
שטראַל|קרן|ray, beam
שטראָם|פֶרֶץ, זֶרם|stream, current
שטראָמען|זרמים|streams, currents
שטראף|עונש|punishment
שטראָפן|עונשים|punishments
שטרוי|קש|straw
שטרויעלע|קשִית, קש-קטן|little straw
שטרייטן|לריב, להתווכח|to quarrel, to argue
שטריימל|שטריימל|shtreimel (fur hat)
שטריימעל|שטריימל, כובע פרווה חסידי|shtreimel (Chassidic fur hat)
שטריינג|קפדני, חמור|strict, severe
שטריינגע|חמורים, תקיפים|strict (pl.)
שטריינגען|מוקפדים|strict
שטריינגקייט|קפדנות, חומרה (=שטרענגקייט)|strictness, severity
שטריכען|קווים, משיכות, קוים|lines, strokes
שטריק|חבל|rope
שטריקל|חוט, חבל דק|string, thin rope
שטריקלעך|חבלים דקים|strings
שטרעבונג|שאיפה|aspiration, striving
שטרעבט|שואף|strives
שטרעבען|שואפים|to strive
שטרענג|קפדני, חמור|strict, severe
שטרענגע|חזקים|strict (pl.)
שטרענגער|קפדני, חמור|stricter
שטרעקע|מרחק|distance, stretch
שיידן|להפריד, להיפרד|to separate, to part
שיידען - זיך|הפרידו-עצמם?|to part, to separate
שיַין|זהר, זיו|glow, radiance
שיין|יפה|beautiful
שייןע|יפה (נקבה/רבים)|beautiful (f./pl.)
שייןער|יפה (זכר)|beautiful (m.)
שיינט|זורח|shines
שיינע|יפים|beautiful (pl.)
שיינעם|יפה (בנטייה)|beautiful (inflected)
שיינען|לזרוח, להאיר|to shine
שיינענדיקע|יָפֶה|shining, radiant
שיינער|יפה|beautiful
שיינקייט|יׂפי|beauty
שייער|אסם|barn
שייערן|אסמים, גרנות|barns, granaries
שיך|נעליים|shoes
שיכלעך|נעליים|shoes
שילדערן|לתאר|to depict, to describe
שילער|תלמיד בית ספר|pupil, student
שימלען|מעלים עובש|to grow moldy
שיסל|קערה|bowl
שיסן|לירות|to shoot
שיסעלע|קערית|little bowl
שיער|כמעט|almost; measure
שיף|אונייה, ספינה|ship
שיפן|אוניות|ships
שיק|שלח|send!
שיקט|שולח (הוא)|(he) sends
שיקן|לשלוח|to send
שיקן נאָך|לשלוח אחרי|to send for
שיקסט|שולח (אתה)|(you) send
שכל האנושי|השכל האנושי|the human intellect
שכל-אָנשטרענגונג|מאמץ שכלי|intellectual effort
שכלדיק|שכלי|intellectual
שכל-ענטוויקלונגס-באַדען|רחצה להתפתחות השכל|means for developing the intellect
שכנסטער|הכי-יפה|nicest, most beautiful
שכענישע|שכנים|neighbors
שכרון|שכרות|drunkenness
שלאָגן|להכות, להרביץ, להכות, לנגן|to hit, to beat
שלאַנג|נחש|snake
שלאָס|מנעול|lock
שלאָף|ישן!|sleep!
שלאָףט|ישן (הוא)|(he) sleeps
שלאָףסט|ישן (אתה)|(you) sleep
שלאָפֿט|ישן|sleeps
שלאָפן|לישון|to sleep
שלאָפנדיקן|ישן|sleeping (inflected)
שלאָפענדיגען|ישנים, ישן|sleeping
שלויסן|להדוף, לדחוף, לנגח|to push, to shove
שלום מאַכן|להשלים, לעשות שלום|to make peace
שלומפער|מרושל|slob, sloppy person
שלימזל|ביש מזל|bad luck; unlucky person
שליסל|מפתח|key
שליסלעך|מפתחות|keys
שליסלען|מפתחות|keys
שלעכט|רע|bad
שלעכטן|רע (מוטה)|bad (inflected)
שלעכטע|רעים/ות|bad (pl.)
שלעכטער|רע (זכר)|bad (m.), worse
שלעכסט|הגרוע ביותר, הכי רע|worst
שלעסער|ארמונות; מנעולים|castles; locks
שלעפּ|גורר (אני)|(I) drag
שלעפּט|סחב|drags
שלעפּן|לגרור|to drag
שלעפּסט|גורר (אתה)|(you) drag
שלערכסטע|רעות|worst
שמאָל|צר|narrow
שמאָלן|צר (מוטה)|narrow (inflected)
שמאָלע|צר (נקבה/רבים)|narrow (f./pl.)
שמאָלער|צר (זכר)|narrow (m.)
שמוּעס|שיחה|conversation
שמועסט|משוחח (אתה)|(you) chat
שמועסן|לשוחח|to converse
שמועסען|לשוחח, שיחה|to converse; conversation
שמוּציגען|מלוכלכים, טמאים|dirty, filthy
שמיד|נפח|blacksmith
שמייכל|חיוך|smile
שמייכלען|לחייך|to smile
שמייסן|להלקות, להצליף|to whip, to flog
שמייסער|מצליף|whipper
שמעלצן|להמס|to melt
שמעק|מריח (אני)|(I) smell
שמעקט|מריח (הוא)|(he) smells
שמעקן|להריח|to smell
שמעקסט|מריח (אתה)|(you) smell
שניט|קציר|harvest, cut
שניי|שלג|snow
שנייד|חותך (אני)|(I) cut
שניידט|חותך (הוא)|(he) cuts
שניידן|לחתוך, לגזור, לקצור|to cut, to reap
שניידן תבואה|לקצור|to reap grain
שניידסט|חותך (אתה)|(you) cut
שניידען|לקצור|to reap, to cut
שנייַדער|חייט|tailor
שנייט|יורד שלג|it snows
שניייק|שלגי|snowy
שנייקן|לשלג|to snow
שנירלעך|שרוכים, פתילים|laces, cords
שנעל|מהר; מהיר|fast, quick
שנעלקייט|מהירות, זריזות|speed
שעדיגט|מזיק|harms
שעהן|יפה (כתיב ישן)|beautiful (old spelling)
שעהן פּנים|פנים יפות|a beautiful face
שעהנעם|יפה־יותר|more beautiful
שעמט|מתבייש (שעמט זיך)|is ashamed
שעמען|להִתבייש|to be ashamed
שעמען זיך|להתבייש|to be ashamed
שענדלעכער|בזוי, מביש, מגונה|shameful, disgraceful
שענער|יפה יותר|more beautiful
שענערין|יותר יפה|more beautiful
שענערע|יפים-יותר|more beautiful (pl.)
שענקען|להעניק|to give, to bestow
שער (כלי)|מספריים|scissors
שפּאָט|לעג|mockery, scorn
שפּאַלטונג|סדק, פילוג|split, division
שפּאַנונג|מֶתַח, מְתִחוּת|tension, suspense
שפאניען|ספרד|Spain
שפּאַנען|למתוח, להדק|to stretch, to tighten
שפּאַס|הלצה, לצון, צחוק|joke, fun
שפּאַציר|טיול|walk, stroll
שפּאַציר-גענג|הליכה בטיולים|walks, strolls
שפּאַצירט|הליכה, טיול|strolls
שפּאַצירן|טיול|to stroll
שפּאַצירען|לטייל, לצעוד|to stroll, to walk
שפּאָרן|לחסוך, לחוס|to save, to spare
שפּגעלט (זיך אָפּ)|מִשתקפים|are reflected
שפּור|עקבות|trace, track
שפּיגל|מראה, ראי|mirror
שפיגלען|(זיך) להשתקף|to reflect, to be reflected
שפּיטאָל|בית חולים|hospital
שפייז|מזון|food
שפּייזט (מען)|זן|feeds, nourishes
שפּייזן|מאכלים|foods
שפּיל|משחק (אני)|(I) play; game
שפּילט|משחק (הוא)|(he) plays
שפּילן זיך|לשחק|to play
שפּילסט|משחק (אתה)|(you) play
שפּיץ|פסגה, קצה|peak, tip
שפּיציק|חד|pointed, sharp
שפיצלעך|תעלולים, מעשי קונדס|pranks, tricks
שפּיצן|קצוות|tips, points
שפּנען אויס|טוֹוִים|to spin out, to weave
שפּעט|מאוחר|late
שפּעטן|ללעוג|to mock
שפּעטע|מאוחר (נקבה/רבים)|late (f./pl.)
שפּעטער|מאוחר-יותר|later
שפעטערדיקע|הבאים|later, subsequent
שפּעטערע|מאוחרים|later (pl.)
שפעם|בשפע|in abundance
שפּראַך|שפה|language
שפּראַכלעך|בלשוני|linguistic
שפּראַכן|שפות|languages
שפּראָצוּנגען|נטיעות, צמחים|sprouts, growths
שפּראָצט|מלבלב, צומח|sprouts, blossoms
שפּרוּנג|קפיצה|leap, jump
שפּרט (זיך)|מרגיש|senses, feels
שפרייטן|לפרוש, להפיץ|to spread
שפּרינג|קפוץ!|jump!
שפּרינגט|קופץ|jumps
שפּרינגסט|קופץ (אתה)|(you) jump
שפּרינגען|לִקְפּוֹץ, לנַתֵּר, לדלג|to jump, to leap
שקלאוו|שקלוב (עיר ברוסיה הלבנה)|Shklov (city in Belarus)
שקלאווער|משקלוב|of Shklov
שרויף|בורג|screw
שריבן|לכתוב; כתבו|to write; wrote
שריט|צעד|step
שריי|צועק (אני)|(I) shout
שרייב|כתוב!|write!
שרייבּ|כּוֹתֶּב, כּתוֹב|writes; write!
שרייבט|כותב|writes
שרייבן|לכתוב|to write
שרייבסט|כותב (אתה)|(you) write
שרייבּער|סוֹפר|writer
שרייט|צועק (הוא)|(he) shouts
שרייסט|צועק (אתה)|(you) shout
שרייען|לצעוק, לקרוא|to shout, to cry out
שריפטען|כתבים|writings
שרעק|פחד|fear, fright
שרעקלעך|נורא|terrible
שרעקלעכע|מפחיד, נורא|terrifying, terrible
שרעקן זיך|להיבהל|to be frightened
שתדלנות|השתדלנות|intercession, lobbying
שתיה|שתייה|drinking
תאוהדיג|של תאווה|of desire, lustful
תהילים זאָגן|לומר תהילים|to say Psalms
תורה לערנען|ללמוד תורה|to study Torah
תורהווארט|דבר תורה|a Torah thought
תורהווערטער|דברי תורה|words of Torah
תמימותדיגע|של תמימות|of wholehearted sincerity
תמימותדיק|תמים, של תמימות|wholehearted, sincere
תמימותדיקן|של תמימות, באופן תמימותי|sincere (inflected)
תמימותדיקע|של תמימות, תמימותיים|sincere, wholehearted (pl.)
תפילין לייגן|להניח תפילין|to put on tefillin
תשובה טאָן|לעשות תשובה|to do teshuvah (repent)
היבּש|לא מבוטל|considerable
דווקא|דווקא, בדיוק|specifically, precisely
שריפטלעך|בכתב|in writing, written
דערשיינען|להופיע|to appear
אלערליי|כל מיני|all kinds of
ענדערונגען|שינויים|changes
קעגנגעזעצטע|מנוגדים, הפוכים|opposite, contrary
איינגעוואוינט|רגיל, מורגל|accustomed, habituated
עמעצער|מישהו|someone
געזינדיקט|חטא|sinned
אריבערגעפארן|עבר בנסיעה|traveled across
אראפלאזן|להוריד, לשלשל|to lower, to let down
ביישטייערונג|תרומה, השתתפות|contribution
באטייליקטן|משתתפים|participants
וועכנטלעכע|שבועי|weekly
פארלעסלעכע|אמין, מהימן|reliable
ווערטערלעכע|מילולי|literal, verbatim
אנטשפרעכן|להתאים, לענות ל־|to correspond
מינדלעך|בעל פה|oral, verbal
פארצויגן|מתוח, נמשך|drawn out, protracted
נאענטסטער|הקרוב ביותר|nearest
לייענער|קורא|reader
אריינגעקוקט|הביט פנימה, עיין|looked into
פארטיפונג|העמקה|deepening
אלטעגלעכע|יומיומי, של יום-יום|everyday
אויפצופירן|להתנהג|to behave
אנגעדייט|רמז, נרמז|hinted, alluded
באגרינדונג|ביסוס, נימוק|justification, grounding
אויסגעאיידלט|מעודן, מזוקק|refined
איינצושטילן|להשקיט, להרגיע|to quiet, to calm
צושטעלער|ספק|supplier, provider
פאסיקלעך|מתאים, הולם|suitable, fitting
מענערשע|גברי, של גברים|masculine
שוועריקייטן|קשיים|difficulties
אפשר|אולי, אפשר|maybe, possibly
גרעסערן|להגדיל|to enlarge
אונטערשטרייכן|להדגיש, להטעים|to underline, to emphasize
אנווייזונגען|הוראות|instructions
צוגרייטונג|הכנה|preparation
פאראייניקן|לאחד|to unite
פאראייניקט|מאוחד|united
באגרענעצונגען|הגבלות|limitations
דערהויבונג|התרוממות, התעלות|elevation, exaltation
געזיכערט|מובטח, מאובטח|secured, assured
ליכטעלע|נר קטן|little candle
נידעריקערער|נמוך יותר|lower
האנטשריפט|כתב יד|handwriting, manuscript
צעדערבוים|ארז|cedar tree
צוגאב|תוספת|addition, supplement
פארשאפט|גורם, מסב|causes, brings about
געביסן|נשך|bit (past of to bite)
פאראיינציקונג|איחוד|unification
אויוונס|תנורים|ovens
שנעלער|מהר יותר|faster
געוואוינהייטן|הרגלים|habits
איינשליסן|לכלול|to include
פארזעצן|להמשיך; למשכן|to continue; to pawn
געבוקט|כפוף, השתחווה|bent, bowed
זאטקייט|שובע|satiety
גענויע|מדויק|exact, precise
איבערגעבליבן|נשאר|remained
אויסלייטערונג|זיכוך|refinement, purification
אראפפאלן|ליפול|to fall down
אריינשיקן|לשלוח פנימה|to send in
קלענערן|להקטין|to reduce
געשטאמט|מוצאו מ־|originated, stemmed from
אויסערלעך|חיצוני|external
פארבאהאלטן|שמור, נסתר|reserved, hidden
נידעריקייט|שפלות, נמיכות|lowliness
פארגעבן|לסלוח; לתת|to forgive; to give away
צוגעגעבענע|נוסף|added
פארבעסערונג|שיפור|improvement
צוטריט|גישה|access
דערמאנטער|הנזכר|the aforementioned
פארגלייכט|משווה|compares
מענטשנס|של האדם|of man, human's
פריערדיקער|קודם|previous
וואסערן|מים, מימות|waters
באגרענעצטער|מוגבל|limited
פולסטער|מלא ביותר|fullest
איינציקן|יחיד|single, sole
אפענעם|פתוח|open
זונדערע|מיוחד, נפרד|special, separate
פארטריבן|גירש, הבריח|drove away, expelled
צוברענגען|לגרום, להביא|to cause, to bring about
איינריידן|לשכנע, להשריש בדעת|to persuade, to talk into
געטויט|הרג|killed
פארהיט|שמר, נשמר|guarded, protected
אומבאגרענעצטע|בלתי מוגבל|unlimited
אראפנידערן|לרדת למטה|to descend
איצטערדיקער|הנוכחי|current, present
אפלערנונג|לימוד, לקח|lesson, learning
באריר|מגע, השקה|touch, contact
בארירן|לנגוע, לגעת, לרגש|to touch; to move (emotionally)
פעראולק|סמטה צדדית|side alley, back lane
שפעלטעלע|חריץ קטן, סדק|little crack, slot
גערעכטיקייט|צדק, יושר|justice, righteousness
נידעריקערן|להנמיך|to lower
אויבנדערמאנטער|הנזכר לעיל|aforementioned
איידלען|לעדן, לזכך|to refine, to ennoble
געפלאנצט|נטע, שתל|planted
אפטיילן|לחלק, להפריד|to divide, to separate
העכערקייט|גובה, עליונות|height, superiority
איינשטעלן|לסכן; לקבוע|to risk; to set
ספעציעלן|מיוחד|special
ליעבע|אהבה|love
מיידעל|ילדה, נערה|girl
געטהאן|עשה|did
צוריקבויען|לבנות מחדש|to rebuild
צופיעל|יותר מדי|too much
באמבארדירונג|הפצצה|bombardment
מערקווירדיגע|מופלא, ראוי לציון|remarkable
פארעפענטליכט|פרסם|published
פריהערדיגע|קודמים, של פעם|previous, former
עלטסטער|הבכור, הזקן ביותר|eldest
טעטיגקייט|פעילות|activity
געערגערט|הרגיז, החמיר|annoyed, worsened
פאראייביגט|הנציח|immortalized
געפאהר|סכנה|danger
ברעגעס|גדות, חופים|shores, banks
געגענווארט|הווה, נוכחות|present
עראינערונגען|זכרונות|memories
אנטשטעהונג|היווצרות, ראשית|emergence, origin
פארהערליכט|פאר, הילל|glorified
דורכפאהרער|עובר אורח, נוסע|passerby, traveler
דערנערען|להזין, לפרנס|to nourish
פרעהליכקייט|שמחה, עליזות|joy, cheerfulness
צוגעטראטען|ניגש, הצטרף|approached, joined
געזעלשאפטליכער|חברתי|social
פארצווייגטע|מסועף|branched, ramified
ערשיינען|להופיע|to appear
סאוועטען|סובייטים|Soviets
פארקליבען|התאספו, נאספו|gathered
פארזאמעלטע|מכונסים, אסופים|assembled
דעקלאראציע|הצהרה|declaration
צעווילדעוועטע|פראיים, משתוללים|wild, rampaging
פארלייקענונג|הכחשה|denial
פארשטענדניס|הבנה|understanding
געיאגט|רדף|chased
ציווילע|אזרחי|civil, civilian
אטאקעס|התקפות|attacks
אויסוואנדערען|להגר|to emigrate
געוואגט|העז|dared
מעכטיגע|אדירים, רבי-עוצמה|mighty
פארבארגענעם|נסתר|hidden
קלעצער|בולי עץ|logs
ערנעהרט|מפרנס, זן|nourishes, supports
פארמישען|לערבב|to mix
וויסענדיק|ביודעו, מדעת|knowingly, wittingly
דערבייאיגע|הנוכחים, הסמוכים|those present, nearby
פארלאנגענדיג|דורש|demanding
באלעמער|בימה|bimah (reader's platform)
קאטוילישער|קתולי|Catholic
הינריכטונג|הוצאה להורג|execution
פארקניפט|קשור, מחובר|tied, connected
באשיינט|מאיר|illuminates, shines upon
שעהנסטע|היפה ביותר|most beautiful
אויסצייכענען|להצטיין; להעניק אות|to distinguish; to award
מויער|חומה, קיר אבן|(stone) wall
פארשטויסען|דחה, הדף|rejected, cast out
באזוכער|מבקר|visitor
פייערדיגער|לוהט, נלהב|fiery, ardent
פארשטארבענעם|הנפטר|the deceased
טייערסטע|היקר ביותר|dearest
שפעטערדיגע|מאוחרים יותר|later
טאפעלטער|כפול|double
אויסגעמאכט|סוכם, נגמר|settled, agreed
מאלע|וכי; הרבה|what does it matter; a great many
גראטעס|חינם|free, gratis
גרינדעט|ייסד|founded
טהאן|עשה|did
אינגלאך|ילדים, נערים|boys
ארומיגע|שמסביב, סביבתי|surrounding
אויסגאבע|הוצאה; מהדורה|expense; edition
אויסגעצייכענט|מצוין|excellent
פארשווינדען|להיעלם|to disappear
פידעל|כינור|fiddle
טהעטיגקייט|פעילות|activity
געשפילט|שיחק|played
טויזענדע|אלפים|thousands
רויך|עשן|smoke
פראצע|עבודה, עמל|work, labor
טהוט|עושה|does
שוסטעריי|סנדלרות|shoemaking
בישאף|בישוף|bishop
ליעבשאפט|אהבה, חיבה|love, affection
ווערטעל|פתגם, אמרה|saying, adage
קבצן|עני, קבצן|pauper
שרעקען|להפחיד|to frighten
קראך|התמוטטות, רעש|crash
מיליאנערען|מיליונרים|millionaires
אנפיהרען|להנהיג, לנהל|to lead
אויפגעטרייסעלט|טולטל, זועזע|shaken up
טריי|נאמן|loyal
הונדערטע|מאות|hundreds
פאסיג|מתאים|suitable
דארטיגע|של שם, מקומי|of that place
באנוצען|להשתמש|to use
צוריקקעהרען|לחזור, לשוב|to return
באריהמטער|מפורסם|famous
עהרליך|ישר, הגון|honest
שטעטלאך|עיירות|towns
אנגעפיהרט|הנהיג, הוביל|led
געגנער|מתנגד, יריב|opponent
טעראריזירט|הטיל אימה|terrorized
ארומגעזוכט|חיפש בסביבה|searched around
פרינץ|נסיך|prince
קינדערלאז|חשוך ילדים|childless
פראסטען|פשוט|simple, common
ערציאונג|חינוך|education
אויסגעריסען|נעקר, נתלש|torn out, uprooted
וואנדערונגען|נדודים|wanderings
אויפבוי|בנייה, מבנה|construction, structure
אנגעזיכט|פנים, מראה|face, countenance
פאזיציע|עמדה|position
אנטשטייאונג|היווצרות|emergence
ציטירט|ציטט|quoted
אויפגעבען|לוותר, למסור|to give up
געגלויבט|האמין|believed
מאטעריאליזם|חומרנות|materialism
היבשות|כמות נכבדה|considerable amount
דריקט|לוחץ; מדפיס|presses; prints
ערפאהרונגען|חוויות, ניסיונות|experiences
שאטירונגען|גוונים|shades, nuances
פארטהאן|שקוע, עסוק|absorbed, occupied
שעהנע|יפה|beautiful
אונגליקליכע|אומללים|unfortunate
באפעסטיגען|לחזק, לקבע|to fasten, to fortify
באמבארדירט|הפציץ|bombarded
דיענען|לשרת|to serve
פלאמען|להבות|flames
מיטעל|אמצעי|means
הארציגען|לבבי|hearty
פרעהליך|שמח, עליז|cheerful
ערגסטע|הגרועים ביותר|worst
הויכען|גבוה|high
ווירקליכ|באמת|really
וועלענדיג|ברצותו|willing, wanting
בארויבט|נשדד, נגזל|robbed
רינדער|בקר|cattle
באזיצט|מחזיק, בעלים|possesses
רויבען|לשדוד, לגזול|to rob
קלעפ|מכות|blows
ראנגעלט|נאבק, מתגושש|wrestles
בארוהיגט|הרגיע|calmed
געוויינליכע|רגילים|usual
אויסגעבויט|בנה, הקים|built up
איבערצייגען|לשכנע|to convince
מיהל|טחנה|mill
אויסצוהאלטען|לסבול, להחזיק מעמד|to endure
בארעכטיגט|מוצדק, מוסמך|justified, entitled
זינדיגע|חוטאים|sinful
הויפטזעכליך|בעיקר|mainly
לערגען|ללמוד|to learn
קעסטעל|קופסה קטנה, תיבה|little box
געהמען|לקחת|to take
איינגעזעהן|הבין, נוכח|realized
פראנקיסטען|פרנקיסטים|Frankists
צושלאגט|טורק, מכה|slams
שכרות|שכרות, שיכרות|drunkenness
אפשטאם|מוצא, שורש|descent, origin
קריעגס|של מלחמה|war (adj.)
ביישפיעל|דוגמה|example
צוגעטיילט|הוקצה, חולק|allotted
צוגעקראגען|קיבל, השיג|obtained
ארויסהעלפער|עוזר, מחלץ|helper
נאטירליך|טבעי|natural
דערהויפט|בעיקר, בראש|mainly, especially
מעגליך|אפשרי|possible
מענשליכע|אנושי|human
דאמאלסדיגען|של אז|of that time
צייגט|מראה, מצביע|shows
פיהלענדיג|מרגיש|feeling
צוריקצוקעהרען|לחזור|to return
צוצושלאגען|לטרוק, להכות|to slam, to strike
דארפישען|כפרי|rural
מלומד|מלומד|learned man
עפענטליכע|פומבי, ציבורי|public
מאנאטען|חודשים|months
וויכטיג|חשוב|important
גלח|כומר|priest, monk
גלחים|כמרים|priests
קריסטענטום|נצרות|Christianity
נאציאנאלע|לאומי|national
רעליגיעזע|דתי|religious
היסטארישע|היסטורי|historical
עקאנאמישער|כלכלי|economic
פעריאד|תקופה|period
כאראקטעריסטיש|אופייני|characteristic
ביאגראפישע|ביוגרפי|biographical
דעקלאמירט|דיקלם, נאם|declaimed
פארשטארבענער|נפטר|deceased
באוואפענע|חמושים|armed
באוואפנט|חמוש|armed
געשטוינט|נדהם, השתומם|astonished, amazed
שטוינען|להשתומם, להידהם|to be astonished
גובערניע|פלך, מחוז|province (guberniya)
זעלבסטפארשטענדלעך|מובן מאליו|self-evident
דורכדרינגען|לחדור|to penetrate
גענוצט|השתמש, ניצל|used, made use of
טיטשערס|מורים|teachers
אומגעקערט|הפוך; חזר|reversed; turned back
צולאזן|לאפשר, להתיר|to allow, to admit
אויפפירן|להתנהג; לבצע|to behave; to carry out
פארבעסערן|לשפר|to improve
פלוצלונג|פתאום|suddenly
צוהערען|להקשיב|to listen
אומאָפהענגיק|עצמאי, בלתי תלוי|independent
אויסגעהאלטענע|עקביים, מבוססים|consistent, well-founded
אונטערגעגעבן|נכנע|submitted, yielded
אויסדרוק|ביטוי|expression
פארהייליגט|קידש|sanctified
אייגענארטיגער|מקורי, ייחודי|distinctive, original
אנטדעקונג|גילוי, תגלית|discovery
אנקוקען|להביט, להסתכל|to look at
אויסגעלאכטער|מלועג|mocked, laughed at
געפייניגטער|מעונה|tortured
אריינגעהאקט|חדר, נעץ|hacked in, driven in
אויפגעריכט|הוקם, זקוף|erected, upright
געהיימער|סודי, נסתר|secret
געראטעוועטער|ניצול|rescued
אפקלאנגען|הדים|echoes, repercussions
צעריסענע|קרועים|torn
פארוואלטער|מנהל|administrator
ערפינדונג|המצאה|invention
צעוואקסען|גדל, התפשט|grown, spread out
פארקויפטער|מכור|sold
ארונטערגעפיהרט|הוריד, הוליך למטה|led down
אנטוישטער|מאוכזב|disappointed
סעפטעמבער|ספטמבר|September
לעזער|קורא|reader
פארעפענטליכונג|פרסום|publication
אינטערווענץ|התערבות|intervention
טשעקא|צ'קה (משטרה חשאית)|Cheka (secret police)
געבליבענע|שנשארו|remaining
ערעפענונג|פתיחה|opening
פארלאג|הוצאה לאור|publishing house
פארמערס|חקלאים|farmers
פייערונג|חגיגה|celebration
דרייפאכען|משולש|threefold
באגריסונג|ברכת שלום|greeting
מעסעדזש|מסר|message
אונטערגעגאנגען|שקע, נחרב|sank, went under
דורכגעלעבט|חווה, עבר|lived through
ווארצלען|שורשים|roots
שטורעמדיגער|סוער|stormy
פארגיסונג|שפיכה|spilling, shedding
באלשעוויסטישער|בולשביקי|Bolshevik
באלשעוויקעס|בולשביקים|Bolsheviks
סאוועטיזירטער|סובייטי, מוסובט|sovietized
ארויסגעשליידערט|הושלך, נזרק|hurled out
אומזיכערקייט|חוסר ביטחון|insecurity
געברויזט|סער, רתח|surged, seethed
פארגליווערענדיגער|מקפיא, מקריש|congealing
סאוועטיש|סובייטי|Soviet
ענטשלאסענהייט|נחישות|determination
פארקערפערונג|התגלמות|embodiment
עקשנותידיגקייט|עקשנות|stubbornness
צושטערונג|הרס|destruction
אויסצייכענונג|הצטיינות; אות כבוד|distinction, award
פארכאפענדיגע|מרתק, שובה לב|captivating
גאלעריע|גלריה|gallery
געפורמט|עוצב|formed, shaped
רינגעלע|טבעת קטנה|little ring
אונטערטעניגט|שועבד, הוכנע|subjugated
אנגעווענדעט|יישם, נקט|applied
צוריקווארפען|להשליך אחורה, להדוף|to throw back, to repel
אויסצוראטען|לעקור, להשמיד|to eradicate
איבערצייגונג|שכנוע, אמונה|conviction
אונטערגעבען|להיכנע; למסור|to submit; to hand over
אייראפעאישע|אירופי|European
מאטעריאלע|חומרי|material
צווייפלער|ספקן|skeptic, doubter
קולטורעלע|תרבותי|cultural
אפטימיזם|אופטימיזם|optimism
פארשטענדיגונג|הבנה, הסכמה|understanding, accord
אורטיילען|לשפוט|to judge
אויפשוואונג|פריחה, התרוממות|upswing, boom
געיעג|מרדף, ציד|chase, hunt
פאבעלהאפטע|אגדי|fabulous, legendary
דערווארבען|רכש|acquired
לעגענדארער|אגדי|legendary
אויסגעקוקט|נראה; ציפה|looked; awaited
דערגרייכבאר|בר-השגה|attainable
אפפערוויליגקייט|מסירות נפש|self-sacrifice
צוצוזעהן|להביט, לצפות|to watch
אנגעריהרט|נגע, ריגש|touched, moved
אויסצודריקען|לבטא|to express
פאראויסזאגענדיג|מנבא|foretelling
קאטעגארישע|נחרץ, מוחלט|categorical
אויפגעפאסט|הבין, תפס|grasped, understood
אויסגעמאטערט|מותש|exhausted
פארגעסענע|נשכחים|forgotten
אפגעפרישטע|מרוענן|refreshed
פארקניפען|לקשור יחד|to tie together
טראגעדיע|טרגדיה|tragedy
שילדערונג|תיאור|description
אריבערגעטראגען|הועבר|transferred
פארטיידיגן|להגן|to defend
צושמעטערטע|מרוסקים|shattered
געביידעס|בניינים|buildings
געקראכט|התמוטט, נשבר|crashed
געיאמערט|יילל|wailed
געשלענגעלט|התפתל|wound, meandered
פארשלינגען|לבלוע|to swallow up
פארמאסטען|התמודד, נמדד|contended, measured up
היטעלעך|כובעים קטנים|little hats
שייטלאך|פאות נכריות|sheitels, wigs
אויפגעריסען|נפרץ, נקרע|torn open
געניסען|ליהנות|to enjoy
ארמיי|צבא|army
פריווילעגיע|זכות יתר|privilege
לאנגייעהריגער|רב-שנים, ותיק|long-standing
אנפערטרויט|הפקיד|entrusted
ליטערארישער|ספרותי|literary
צוגעשטימט|הסכים|agreed
געאגראפישע|גיאוגרפי|geographical
אפצוזונדערען|להבדיל, לבודד|to separate
עטישע|מוסרי, אתי|ethical
לעגענדע|אגדה|legend
צויבער|קסם|magic
צויבערשטאט|עיר קסומה|magical city
אינספערירענדיג|מעורר השראה|inspiring
רייצענדיג|מגרה, מקסים|alluring
אנדענק|מזכרת|keepsake, memento
